565	198	374	246
578	191	344	220
591	222	360	227
604	213	334	241
610	214	360	259
619	220	341	224
632	247	388	237
646	222	355	230
661	249	355	239
663	229	347	227
675	239	348	251
669	224	349	225
650	236	364	253
647	215	359	234
657	213	351	265
641	199	366	234
626	204	358	222
633	178	346	242
633	163	345	243
637	164	344	255
618	153	361	224
588	161	385	255
591	136	369	241
600	138	354	260
593	121	355	239
564	154	381	245
564	137	365	228
552	165	369	241
527	155	378	240
534	170	361	246
527	149	361	247
532	178	349	220
535	142	384	233
543	154	350	219
525	113	393	260
534	145	371	190
551	99	382	279
555	143	365	197
582	131	377	257
586	154	356	201
609	167	362	236
612	154	342	237
618	189	344	232
616	155	340	244
613	154	340	247
602	127	348	252
603	138	349	249
596	108	361	257
597	134	361	247
595	100	366	252
605	124	360	260
603	87	361	258
609	111	363	262
606	73	360	256
608	105	364	251
602	67	360	250
604	75	360	264
592	47	362	262
597	72	366	265
591	38	367	270
590	76	377	259
591	37	377	275
595	83	383	257
605	34	370	275
605	78	378	260
604	41	372	262
608	81	373	255
605	46	363	267
602	79	376	262
598	47	371	264
604	91	372	252
602	55	365	274
602	98	375	257
601	61	374	269
607	105	376	258
607	66	389	265
618	106	381	258
618	68	374	272
624	112	379	256
627	70	368	262
634	92	371	269
629	58	373	266
633	98	380	257
642	50	375	270
645	80	381	272
642	42	381	279
647	70	381	268
643	35	395	285
645	78	393	254
649	40	396	284
653	71	383	248
651	40	386	290
652	69	379	243
635	30	392	301
631	75	391	231
632	40	394	303
629	77	387	227
620	49	391	292
623	70	379	229
609	54	394	284
613	68	382	226
605	59	384	276
609	92	371	219
617	77	395	281
619	104	376	218
630	90	381	277
630	122	373	204
641	105	390	270
644	135	370	207
645	120	386	268
652	127	363	227
648	127	368	262
651	130	358	226
647	128	366	265
645	134	367	220
651	133	361	258
650	131	355	246
653	136	359	256
646	128	361	247
650	129	362	271
647	141	358	227
651	138	371	268
643	148	370	220
633	149	379	259
638	152	365	227
631	154	370	262
631	157	362	231
604	155	387	268
611	164	372	225
606	156	374	270
605	156	370	227
586	152	383	269
590	152	370	226
603	152	354	264
584	146	369	242
591	170	362	252
586	139	365	249
592	161	362	260
588	146	362	248
595	149	356	271
584	149	366	240
588	145	366	280
578	138	368	257
577	165	373	263
563	151	378	253
574	148	366	285
567	147	371	248
576	149	366	280
571	150	365	252
577	162	367	272
572	155	370	253
580	152	370	288
570	140	384	251
589	147	398	289
588	134	395	254
606	132	381	292
605	135	384	247
623	134	392	289
623	140	388	235
640	135	367	280
627	141	380	268
621	140	382	278
623	142	376	249
622	141	379	284
610	145	382	246
612	141	385	289
606	147	383	249
609	144	386	290
603	149	385	252
617	151	374	288
609	158	379	264
603	159	389	294
600	160	394	245
617	159	375	285
603	160	391	255
613	153	388	300
609	160	397	244
614	152	395	295
612	158	394	251
622	154	386	295
602	160	400	262
616	160	387	300
592	169	407	264
599	163	392	293
592	171	399	253
596	164	397	297
595	163	401	252
584	155	407	293
588	153	398	246
592	145	421	303
585	144	418	259
595	151	402	295
570	151	422	253
588	149	397	302
573	156	408	278
581	155	403	314
572	162	413	259
578	171	403	293
569	171	405	284
576	174	402	317
566	183	411	269
567	187	405	309
562	194	407	298
564	202	402	306
563	209	393	262
560	208	393	303
543	212	401	261
542	204	399	305
536	203	406	253
556	194	384	301
552	189	391	253
565	184	397	301
563	175	398	259
577	186	383	286
577	190	383	250
589	190	397	293
588	190	394	243
604	188	387	291
601	184	388	245
616	188	380	282
616	179	380	246
625	181	399	289
623	176	397	247
640	182	403	288
635	174	402	249
653	172	397	296
644	168	403	250
664	177	384	282
652	156	392	256
660	166	395	285
639	142	410	262
644	143	414	297
645	140	406	252
654	135	423	311
653	128	420	266
653	129	423	286
656	121	411	255
680	128	412	303
661	119	427	261
676	121	417	282
663	116	414	262
692	112	411	290
674	109	414	277
698	108	415	292
679	106	419	273
713	107	408	294
694	107	410	270
718	101	414	292
697	100	417	272
732	107	404	287
715	101	405	277
704	101	439	280
720	108	406	262
715	96	431	286
718	95	406	266
721	93	430	294
718	90	411	274
740	92	418	283
725	90	416	270
721	90	431	282
713	93	412	265
729	98	419	278
716	98	412	269
710	94	428	277
722	103	400	261
714	102	426	277
712	113	399	250
707	109	423	292
712	110	395	257
701	106	423	276
710	97	390	261
709	93	420	284
699	97	410	265
728	103	406	284
710	109	408	267
719	126	410	271
712	129	395	260
707	133	409	284
695	136	398	252
696	147	391	281
677	155	396	258
669	160	398	283
651	162	406	240
647	158	416	293
646	166	403	245
648	167	411	294
634	172	419	241
650	175	400	287
637	179	407	237
650	172	405	294
645	177	404	240
645	170	399	282
657	167	380	240
651	164	407	291
644	157	408	250
651	152	400	287
673	147	371	246
667	156	393	277
667	147	385	242
666	152	395	280
659	147	394	240
657	146	405	278
653	141	395	244
646	137	393	283
654	133	380	242
656	140	374	272
643	143	377	254
651	142	383	289
662	138	371	244
655	149	384	270
643	138	386	239
653	140	383	280
653	131	379	244
648	128	390	285
691	123	343	242
696	127	352	272
676	128	365	250
692	123	364	284
727	123	324	242
730	128	344	268
728	127	344	259
722	129	355	270
725	123	346	262
714	129	364	275
712	123	352	247
720	126	348	275
717	126	343	252
721	128	343	271
718	137	345	263
720	131	339	273
715	131	340	285
707	128	332	257
683	133	357	290
677	128	346	255
668	131	352	293
659	124	353	261
655	129	353	297
642	113	356	271
642	132	352	288
634	123	352	258
634	129	352	276
632	132	346	248
638	129	344	280
632	132	343	247
638	130	340	272
635	129	342	259
636	125	346	278
633	126	346	257
635	128	352	282
632	125	349	259
627	129	360	274
619	129	362	259
622	123	357	273
624	121	351	259
623	120	365	283
633	117	350	260
630	119	365	284
629	116	361	263
624	118	374	286
653	117	340	266
644	123	368	285
654	123	352	256
654	125	363	283
647	127	366	263
654	124	360	281
647	127	364	262
653	124	359	280
650	131	359	262
